Description:
Start date: 2026-05-18 00:00:00
End date: 2026-05-19 00:00:00
Sampling interval: 30T
Animal: Animal 6
Tag: 263000247284
Sex: Male
Cage: 1

Data:
date, duration, values, day
2026-05-18 00:00:00,0.0,0,2026-05-18
2026-05-18 00:30:00,0.0,0,2026-05-18
2026-05-18 01:00:00,0.0,0,2026-05-18
2026-05-18 01:30:00,0.0,0,2026-05-18
2026-05-18 02:00:00,0.0,0,2026-05-18
2026-05-18 02:30:00,0.0,0,2026-05-18
2026-05-18 03:00:00,0.0,0,2026-05-18
2026-05-18 03:30:00,0.0,0,2026-05-18
2026-05-18 04:00:00,0.0,0,2026-05-18
2026-05-18 04:30:00,0.0,0,2026-05-18
2026-05-18 05:00:00,0.0,0,2026-05-18
2026-05-18 05:30:00,0.0,0,2026-05-18
2026-05-18 06:00:00,0.0,0,2026-05-18
2026-05-18 06:30:00,0.0,0,2026-05-18
2026-05-18 07:00:00,0.0,0,2026-05-18
2026-05-18 07:30:00,0.0,0,2026-05-18
2026-05-18 08:00:00,0.0,0,2026-05-18
2026-05-18 08:30:00,0.0,0,2026-05-18
2026-05-18 09:00:00,0.0,0,2026-05-18
2026-05-18 09:30:00,0.0,0,2026-05-18
2026-05-18 10:00:00,0.0,0,2026-05-18
2026-05-18 10:30:00,0.0,0,2026-05-18
2026-05-18 11:00:00,0.0,0,2026-05-18
2026-05-18 11:30:00,0.0,0,2026-05-18
2026-05-18 12:00:00,23.666,1,2026-05-18
2026-05-18 12:30:00,798.467,5,2026-05-18
2026-05-18 13:00:00,129.422,5,2026-05-18
2026-05-18 13:30:00,0.0,0,2026-05-18
2026-05-18 14:00:00,290.769,1,2026-05-18
2026-05-18 14:30:00,1800.0,0,2026-05-18
2026-05-18 15:00:00,1800.0,0,2026-05-18
2026-05-18 15:30:00,1125.689,1,2026-05-18
2026-05-18 16:00:00,1800.0,0,2026-05-18
2026-05-18 16:30:00,1112.694,1,2026-05-18
2026-05-18 17:00:00,1477.009,0,2026-05-18
2026-05-18 17:30:00,0.0,0,2026-05-18
2026-05-18 18:00:00,0.0,0,2026-05-18
2026-05-18 18:30:00,0.0,0,2026-05-18
2026-05-18 19:00:00,594.377,2,2026-05-18
2026-05-18 19:30:00,700.964,2,2026-05-18
2026-05-18 20:00:00,63.483,0,2026-05-18
2026-05-18 20:30:00,372.466,1,2026-05-18
2026-05-18 21:00:00,51.106,3,2026-05-18
2026-05-18 21:30:00,148.549,2,2026-05-18
2026-05-18 22:00:00,168.31,3,2026-05-18
2026-05-18 22:30:00,796.601,3,2026-05-18
2026-05-18 23:00:00,446.269,3,2026-05-18
2026-05-18 23:30:00,318.787,2,2026-05-18
2026-05-19 00:00:00,180.321,4,2026-05-19
2026-05-19 00:30:00,547.655,2,2026-05-19
2026-05-19 01:00:00,315.279,4,2026-05-19
2026-05-19 01:30:00,251.423,2,2026-05-19
2026-05-19 02:00:00,383.995,4,2026-05-19
2026-05-19 02:30:00,594.658,3,2026-05-19
2026-05-19 03:00:00,274.403,2,2026-05-19
2026-05-19 03:30:00,538.715,1,2026-05-19
2026-05-19 04:00:00,247.503,1,2026-05-19
2026-05-19 04:30:00,1800.0,0,2026-05-19
2026-05-19 05:00:00,368.816,0,2026-05-19
2026-05-19 05:30:00,196.248,1,2026-05-19
2026-05-19 06:00:00,0.0,0,2026-05-19
2026-05-19 06:30:00,530.12,3,2026-05-19
2026-05-19 07:00:00,54.523,1,2026-05-19
2026-05-19 07:30:00,449.522,3,2026-05-19
2026-05-19 08:00:00,283.148,2,2026-05-19
2026-05-19 08:30:00,220.413,1,2026-05-19
2026-05-19 09:00:00,241.692,3,2026-05-19
2026-05-19 09:30:00,0.0,0,2026-05-19
2026-05-19 10:00:00,0.0,0,2026-05-19
2026-05-19 10:30:00,0.0,0,2026-05-19
2026-05-19 11:00:00,0.0,0,2026-05-19
2026-05-19 11:30:00,1218.892,2,2026-05-19
2026-05-19 12:00:00,0.0,0,2026-05-19
2026-05-19 12:30:00,0.0,0,2026-05-19
2026-05-19 13:00:00,0.0,0,2026-05-19
2026-05-19 13:30:00,0.0,0,2026-05-19
2026-05-19 14:00:00,0.0,0,2026-05-19
2026-05-19 14:30:00,0.0,0,2026-05-19
2026-05-19 15:00:00,0.0,0,2026-05-19
2026-05-19 15:30:00,0.0,0,2026-05-19
2026-05-19 16:00:00,0.0,0,2026-05-19
2026-05-19 16:30:00,0.0,0,2026-05-19
2026-05-19 17:00:00,0.0,0,2026-05-19
2026-05-19 17:30:00,0.0,0,2026-05-19
2026-05-19 18:00:00,0.0,0,2026-05-19
2026-05-19 18:30:00,0.0,0,2026-05-19
2026-05-19 19:00:00,0.0,0,2026-05-19
2026-05-19 19:30:00,0.0,0,2026-05-19
2026-05-19 20:00:00,0.0,0,2026-05-19
2026-05-19 20:30:00,0.0,0,2026-05-19
2026-05-19 21:00:00,0.0,0,2026-05-19
2026-05-19 21:30:00,0.0,0,2026-05-19
2026-05-19 22:00:00,0.0,0,2026-05-19
2026-05-19 22:30:00,0.0,0,2026-05-19
2026-05-19 23:00:00,0.0,0,2026-05-19
2026-05-19 23:30:00,0.0,0,2026-05-19
