Description:
Start date: 2025-03-14 00:00:00
End date: 2025-03-16 00:00:00
Sampling interval: 30T
Animal: Animal 17
Tag: 263000247283
Sex: Female
Cage: 4

Data:
date, duration, values, day
2025-03-14 00:00:00,0.0,0,2025-03-14
2025-03-14 00:30:00,0.0,0,2025-03-14
2025-03-14 01:00:00,0.0,0,2025-03-14
2025-03-14 01:30:00,0.0,0,2025-03-14
2025-03-14 02:00:00,0.0,0,2025-03-14
2025-03-14 02:30:00,0.0,0,2025-03-14
2025-03-14 03:00:00,0.0,0,2025-03-14
2025-03-14 03:30:00,0.0,0,2025-03-14
2025-03-14 04:00:00,0.0,0,2025-03-14
2025-03-14 04:30:00,0.0,0,2025-03-14
2025-03-14 05:00:00,0.0,0,2025-03-14
2025-03-14 05:30:00,0.0,0,2025-03-14
2025-03-14 06:00:00,0.0,0,2025-03-14
2025-03-14 06:30:00,0.0,0,2025-03-14
2025-03-14 07:00:00,0.0,0,2025-03-14
2025-03-14 07:30:00,0.0,0,2025-03-14
2025-03-14 08:00:00,0.0,0,2025-03-14
2025-03-14 08:30:00,0.0,0,2025-03-14
2025-03-14 09:00:00,0.0,0,2025-03-14
2025-03-14 09:30:00,0.0,0,2025-03-14
2025-03-14 10:00:00,0.0,0,2025-03-14
2025-03-14 10:30:00,0.0,0,2025-03-14
2025-03-14 11:00:00,0.0,0,2025-03-14
2025-03-14 11:30:00,0.0,0,2025-03-14
2025-03-14 12:00:00,0.0,0,2025-03-14
2025-03-14 12:30:00,0.0,0,2025-03-14
2025-03-14 13:00:00,0.0,0,2025-03-14
2025-03-14 13:30:00,0.0,0,2025-03-14
2025-03-14 14:00:00,0.0,0,2025-03-14
2025-03-14 14:30:00,0.0,0,2025-03-14
2025-03-14 15:00:00,0.0,0,2025-03-14
2025-03-14 15:30:00,0.0,0,2025-03-14
2025-03-14 16:00:00,11.825,1,2025-03-14
2025-03-14 16:30:00,45.366,5,2025-03-14
2025-03-14 17:00:00,241.456,3,2025-03-14
2025-03-14 17:30:00,373.981,3,2025-03-14
2025-03-14 18:00:00,517.282,6,2025-03-14
2025-03-14 18:30:00,454.553,3,2025-03-14
2025-03-14 19:00:00,145.954,1,2025-03-14
2025-03-14 19:30:00,0.0,0,2025-03-14
2025-03-14 20:00:00,1768.282,1,2025-03-14
2025-03-14 20:30:00,417.828,0,2025-03-14
2025-03-14 21:00:00,111.212,4,2025-03-14
2025-03-14 21:30:00,119.909,2,2025-03-14
2025-03-14 22:00:00,579.915,5,2025-03-14
2025-03-14 22:30:00,87.839,5,2025-03-14
2025-03-14 23:00:00,117.284,5,2025-03-14
2025-03-14 23:30:00,258.424,5,2025-03-14
2025-03-15 00:00:00,477.888,7,2025-03-15
2025-03-15 00:30:00,483.956,3,2025-03-15
2025-03-15 01:00:00,417.214,6,2025-03-15
2025-03-15 01:30:00,314.894,1,2025-03-15
2025-03-15 02:00:00,37.712,1,2025-03-15
2025-03-15 02:30:00,119.084,3,2025-03-15
2025-03-15 03:00:00,163.826,7,2025-03-15
2025-03-15 03:30:00,157.783,7,2025-03-15
2025-03-15 04:00:00,100.701,5,2025-03-15
2025-03-15 04:30:00,66.646,4,2025-03-15
2025-03-15 05:00:00,356.75,7,2025-03-15
2025-03-15 05:30:00,127.609,5,2025-03-15
2025-03-15 06:00:00,479.36,5,2025-03-15
2025-03-15 06:30:00,291.783,7,2025-03-15
2025-03-15 07:00:00,103.215,5,2025-03-15
2025-03-15 07:30:00,602.936,6,2025-03-15
2025-03-15 08:00:00,286.981,5,2025-03-15
2025-03-15 08:30:00,634.715,2,2025-03-15
2025-03-15 09:00:00,613.864,2,2025-03-15
2025-03-15 09:30:00,154.807,5,2025-03-15
2025-03-15 10:00:00,70.975,3,2025-03-15
2025-03-15 10:30:00,625.074,6,2025-03-15
2025-03-15 11:00:00,1800.0,0,2025-03-15
2025-03-15 11:30:00,118.004,3,2025-03-15
2025-03-15 12:00:00,790.479,7,2025-03-15
2025-03-15 12:30:00,659.909,1,2025-03-15
2025-03-15 13:00:00,269.618,2,2025-03-15
2025-03-15 13:30:00,0.0,0,2025-03-15
2025-03-15 14:00:00,188.222,3,2025-03-15
2025-03-15 14:30:00,881.065,5,2025-03-15
2025-03-15 15:00:00,218.182,0,2025-03-15
2025-03-15 15:30:00,0.0,0,2025-03-15
2025-03-15 16:00:00,89.919,2,2025-03-15
2025-03-15 16:30:00,0.0,0,2025-03-15
2025-03-15 17:00:00,90.108,3,2025-03-15
2025-03-15 17:30:00,0.0,0,2025-03-15
2025-03-15 18:00:00,545.166,5,2025-03-15
2025-03-15 18:30:00,32.404,1,2025-03-15
2025-03-15 19:00:00,78.749,0,2025-03-15
2025-03-15 19:30:00,384.873,5,2025-03-15
2025-03-15 20:00:00,681.621,0,2025-03-15
2025-03-15 20:30:00,0.0,0,2025-03-15
2025-03-15 21:00:00,0.0,0,2025-03-15
2025-03-15 21:30:00,80.358,3,2025-03-15
2025-03-15 22:00:00,0.0,0,2025-03-15
2025-03-15 22:30:00,873.679,4,2025-03-15
2025-03-15 23:00:00,1444.287,4,2025-03-15
2025-03-15 23:30:00,583.117,2,2025-03-15
2025-03-16 00:00:00,212.019,4,2025-03-16
2025-03-16 00:30:00,214.564,7,2025-03-16
2025-03-16 01:00:00,480.439,7,2025-03-16
2025-03-16 01:30:00,355.793,11,2025-03-16
2025-03-16 02:00:00,232.896,8,2025-03-16
2025-03-16 02:30:00,251.669,10,2025-03-16
2025-03-16 03:00:00,7.925,3,2025-03-16
2025-03-16 03:30:00,95.556,3,2025-03-16
2025-03-16 04:00:00,58.893,2,2025-03-16
2025-03-16 04:30:00,13.588,1,2025-03-16
2025-03-16 05:00:00,12.626,1,2025-03-16
2025-03-16 05:30:00,163.204,9,2025-03-16
2025-03-16 06:00:00,73.487,1,2025-03-16
2025-03-16 06:30:00,31.579,2,2025-03-16
2025-03-16 07:00:00,36.992,1,2025-03-16
2025-03-16 07:30:00,1037.719,6,2025-03-16
2025-03-16 08:00:00,444.292,5,2025-03-16
2025-03-16 08:30:00,312.28,7,2025-03-16
2025-03-16 09:00:00,33.083,1,2025-03-16
2025-03-16 09:30:00,183.874,6,2025-03-16
2025-03-16 10:00:00,360.294,4,2025-03-16
2025-03-16 10:30:00,0.0,0,2025-03-16
2025-03-16 11:00:00,306.037,1,2025-03-16
2025-03-16 11:30:00,62.975,1,2025-03-16
2025-03-16 12:00:00,327.976,1,2025-03-16
2025-03-16 12:30:00,1576.942,3,2025-03-16
2025-03-16 13:00:00,1227.563,3,2025-03-16
2025-03-16 13:30:00,298.957,2,2025-03-16
2025-03-16 14:00:00,245.572,1,2025-03-16
2025-03-16 14:30:00,382.595,1,2025-03-16
2025-03-16 15:00:00,20.718,1,2025-03-16
2025-03-16 15:30:00,347.89,1,2025-03-16
2025-03-16 16:00:00,0.0,0,2025-03-16
2025-03-16 16:30:00,0.0,0,2025-03-16
2025-03-16 17:00:00,135.487,1,2025-03-16
2025-03-16 17:30:00,809.209,6,2025-03-16
2025-03-16 18:00:00,0.0,0,2025-03-16
2025-03-16 18:30:00,0.0,0,2025-03-16
2025-03-16 19:00:00,0.0,0,2025-03-16
2025-03-16 19:30:00,0.0,0,2025-03-16
2025-03-16 20:00:00,0.0,0,2025-03-16
2025-03-16 20:30:00,0.0,0,2025-03-16
2025-03-16 21:00:00,0.0,0,2025-03-16
2025-03-16 21:30:00,0.0,0,2025-03-16
2025-03-16 22:00:00,0.0,0,2025-03-16
2025-03-16 22:30:00,0.0,0,2025-03-16
2025-03-16 23:00:00,0.0,0,2025-03-16
2025-03-16 23:30:00,0.0,0,2025-03-16
