Description:
Start date: 2026-03-16 00:00:00
End date: 2026-03-17 00:00:00
Sampling interval: 30T
Animal: Animal 12
Tag: 263000247254
Sex: Male
Cage: 1

Data:
date, duration, values, day
2026-03-16 00:00:00,0.0,0,2026-03-16
2026-03-16 00:30:00,0.0,0,2026-03-16
2026-03-16 01:00:00,0.0,0,2026-03-16
2026-03-16 01:30:00,0.0,0,2026-03-16
2026-03-16 02:00:00,0.0,0,2026-03-16
2026-03-16 02:30:00,0.0,0,2026-03-16
2026-03-16 03:00:00,0.0,0,2026-03-16
2026-03-16 03:30:00,0.0,0,2026-03-16
2026-03-16 04:00:00,0.0,0,2026-03-16
2026-03-16 04:30:00,0.0,0,2026-03-16
2026-03-16 05:00:00,0.0,0,2026-03-16
2026-03-16 05:30:00,0.0,0,2026-03-16
2026-03-16 06:00:00,0.0,0,2026-03-16
2026-03-16 06:30:00,0.0,0,2026-03-16
2026-03-16 07:00:00,0.0,0,2026-03-16
2026-03-16 07:30:00,0.0,0,2026-03-16
2026-03-16 08:00:00,0.0,0,2026-03-16
2026-03-16 08:30:00,0.0,0,2026-03-16
2026-03-16 09:00:00,0.0,0,2026-03-16
2026-03-16 09:30:00,0.0,0,2026-03-16
2026-03-16 10:00:00,0.0,0,2026-03-16
2026-03-16 10:30:00,0.0,0,2026-03-16
2026-03-16 11:00:00,0.0,0,2026-03-16
2026-03-16 11:30:00,60.403,11,2026-03-16
2026-03-16 12:00:00,502.076,11,2026-03-16
2026-03-16 12:30:00,393.352,2,2026-03-16
2026-03-16 13:00:00,0.0,0,2026-03-16
2026-03-16 13:30:00,1137.578,4,2026-03-16
2026-03-16 14:00:00,15.764,0,2026-03-16
2026-03-16 14:30:00,90.719,4,2026-03-16
2026-03-16 15:00:00,404.536,4,2026-03-16
2026-03-16 15:30:00,0.0,0,2026-03-16
2026-03-16 16:00:00,1.99,1,2026-03-16
2026-03-16 16:30:00,1430.093,4,2026-03-16
2026-03-16 17:00:00,0.0,0,2026-03-16
2026-03-16 17:30:00,0.0,0,2026-03-16
2026-03-16 18:00:00,0.0,0,2026-03-16
2026-03-16 18:30:00,324.621,1,2026-03-16
2026-03-16 19:00:00,0.0,0,2026-03-16
2026-03-16 19:30:00,232.752,2,2026-03-16
2026-03-16 20:00:00,287.022,3,2026-03-16
2026-03-16 20:30:00,675.375,8,2026-03-16
2026-03-16 21:00:00,159.76,12,2026-03-16
2026-03-16 21:30:00,288.351,9,2026-03-16
2026-03-16 22:00:00,93.257,6,2026-03-16
2026-03-16 22:30:00,348.675,9,2026-03-16
2026-03-16 23:00:00,544.738,5,2026-03-16
2026-03-16 23:30:00,198.834,4,2026-03-16
2026-03-17 00:00:00,238.592,3,2026-03-17
2026-03-17 00:30:00,683.852,1,2026-03-17
2026-03-17 01:00:00,828.602,2,2026-03-17
2026-03-17 01:30:00,308.989,4,2026-03-17
2026-03-17 02:00:00,0.0,0,2026-03-17
2026-03-17 02:30:00,385.227,2,2026-03-17
2026-03-17 03:00:00,0.0,0,2026-03-17
2026-03-17 03:30:00,0.0,0,2026-03-17
2026-03-17 04:00:00,0.0,0,2026-03-17
2026-03-17 04:30:00,61.729,1,2026-03-17
2026-03-17 05:00:00,348.068,5,2026-03-17
2026-03-17 05:30:00,184.183,5,2026-03-17
2026-03-17 06:00:00,353.594,2,2026-03-17
2026-03-17 06:30:00,263.968,5,2026-03-17
2026-03-17 07:00:00,266.042,8,2026-03-17
2026-03-17 07:30:00,148.653,12,2026-03-17
2026-03-17 08:00:00,396.637,9,2026-03-17
2026-03-17 08:30:00,252.876,14,2026-03-17
2026-03-17 09:00:00,254.905,6,2026-03-17
2026-03-17 09:30:00,427.474,7,2026-03-17
2026-03-17 10:00:00,223.532,5,2026-03-17
2026-03-17 10:30:00,258.446,1,2026-03-17
2026-03-17 11:00:00,0.0,0,2026-03-17
2026-03-17 11:30:00,0.0,0,2026-03-17
2026-03-17 12:00:00,0.0,0,2026-03-17
2026-03-17 12:30:00,0.0,0,2026-03-17
2026-03-17 13:00:00,0.0,0,2026-03-17
2026-03-17 13:30:00,0.0,0,2026-03-17
2026-03-17 14:00:00,0.0,0,2026-03-17
2026-03-17 14:30:00,0.0,0,2026-03-17
2026-03-17 15:00:00,0.0,0,2026-03-17
2026-03-17 15:30:00,0.0,0,2026-03-17
2026-03-17 16:00:00,0.0,0,2026-03-17
2026-03-17 16:30:00,0.0,0,2026-03-17
2026-03-17 17:00:00,0.0,0,2026-03-17
2026-03-17 17:30:00,0.0,0,2026-03-17
2026-03-17 18:00:00,0.0,0,2026-03-17
2026-03-17 18:30:00,0.0,0,2026-03-17
2026-03-17 19:00:00,0.0,0,2026-03-17
2026-03-17 19:30:00,0.0,0,2026-03-17
2026-03-17 20:00:00,0.0,0,2026-03-17
2026-03-17 20:30:00,0.0,0,2026-03-17
2026-03-17 21:00:00,0.0,0,2026-03-17
2026-03-17 21:30:00,0.0,0,2026-03-17
2026-03-17 22:00:00,0.0,0,2026-03-17
2026-03-17 22:30:00,0.0,0,2026-03-17
2026-03-17 23:00:00,0.0,0,2026-03-17
2026-03-17 23:30:00,0.0,0,2026-03-17
