Description:
Start date: 2026-03-21 00:00:00
End date: 2026-03-26 00:00:00
Sampling interval: 30T
Animal: Animal 1
Tag: 263000247290
Sex: Male
Cage: 1

Data:
date, duration, values, day
2026-03-21 00:00:00,0.0,0,2026-03-21
2026-03-21 00:30:00,0.0,0,2026-03-21
2026-03-21 01:00:00,0.0,0,2026-03-21
2026-03-21 01:30:00,0.0,0,2026-03-21
2026-03-21 02:00:00,0.0,0,2026-03-21
2026-03-21 02:30:00,0.0,0,2026-03-21
2026-03-21 03:00:00,0.0,0,2026-03-21
2026-03-21 03:30:00,0.0,0,2026-03-21
2026-03-21 04:00:00,0.0,0,2026-03-21
2026-03-21 04:30:00,0.0,0,2026-03-21
2026-03-21 05:00:00,0.0,0,2026-03-21
2026-03-21 05:30:00,0.0,0,2026-03-21
2026-03-21 06:00:00,0.0,0,2026-03-21
2026-03-21 06:30:00,0.0,0,2026-03-21
2026-03-21 07:00:00,0.0,0,2026-03-21
2026-03-21 07:30:00,0.0,0,2026-03-21
2026-03-21 08:00:00,0.0,0,2026-03-21
2026-03-21 08:30:00,0.0,0,2026-03-21
2026-03-21 09:00:00,0.0,0,2026-03-21
2026-03-21 09:30:00,0.0,0,2026-03-21
2026-03-21 10:00:00,0.0,0,2026-03-21
2026-03-21 10:30:00,0.0,0,2026-03-21
2026-03-21 11:00:00,0.0,0,2026-03-21
2026-03-21 11:30:00,0.0,0,2026-03-21
2026-03-21 12:00:00,0.0,0,2026-03-21
2026-03-21 12:30:00,0.0,0,2026-03-21
2026-03-21 13:00:00,0.0,0,2026-03-21
2026-03-21 13:30:00,0.0,0,2026-03-21
2026-03-21 14:00:00,0.0,0,2026-03-21
2026-03-21 14:30:00,0.0,0,2026-03-21
2026-03-21 15:00:00,0.0,0,2026-03-21
2026-03-21 15:30:00,0.0,0,2026-03-21
2026-03-21 16:00:00,309.681,1,2026-03-21
2026-03-21 16:30:00,812.878,3,2026-03-21
2026-03-21 17:00:00,1447.141,0,2026-03-21
2026-03-21 17:30:00,1084.326,4,2026-03-21
2026-03-21 18:00:00,1654.648,1,2026-03-21
2026-03-21 18:30:00,1389.188,2,2026-03-21
2026-03-21 19:00:00,476.232,4,2026-03-21
2026-03-21 19:30:00,254.077,2,2026-03-21
2026-03-21 20:00:00,342.264,9,2026-03-21
2026-03-21 20:30:00,150.978,10,2026-03-21
2026-03-21 21:00:00,85.412,7,2026-03-21
2026-03-21 21:30:00,202.832,9,2026-03-21
2026-03-21 22:00:00,238.091,9,2026-03-21
2026-03-21 22:30:00,210.243,11,2026-03-21
2026-03-21 23:00:00,473.958,8,2026-03-21
2026-03-21 23:30:00,233.868,6,2026-03-21
2026-03-22 00:00:00,179.049,3,2026-03-22
2026-03-22 00:30:00,140.634,5,2026-03-22
2026-03-22 01:00:00,98.575,8,2026-03-22
2026-03-22 01:30:00,116.298,6,2026-03-22
2026-03-22 02:00:00,683.369,8,2026-03-22
2026-03-22 02:30:00,257.094,4,2026-03-22
2026-03-22 03:00:00,197.815,4,2026-03-22
2026-03-22 03:30:00,31.693,2,2026-03-22
2026-03-22 04:00:00,775.481,4,2026-03-22
2026-03-22 04:30:00,55.969,1,2026-03-22
2026-03-22 05:00:00,387.21,9,2026-03-22
2026-03-22 05:30:00,268.649,5,2026-03-22
2026-03-22 06:00:00,404.467,13,2026-03-22
2026-03-22 06:30:00,221.348,10,2026-03-22
2026-03-22 07:00:00,152.71,11,2026-03-22
2026-03-22 07:30:00,275.581,10,2026-03-22
2026-03-22 08:00:00,1183.472,11,2026-03-22
2026-03-22 08:30:00,348.708,4,2026-03-22
2026-03-22 09:00:00,0.0,0,2026-03-22
2026-03-22 09:30:00,318.455,4,2026-03-22
2026-03-22 10:00:00,419.785,0,2026-03-22
2026-03-22 10:30:00,1513.508,1,2026-03-22
2026-03-22 11:00:00,1220.865,3,2026-03-22
2026-03-22 11:30:00,1800.0,0,2026-03-22
2026-03-22 12:00:00,1475.222,2,2026-03-22
2026-03-22 12:30:00,1800.0,0,2026-03-22
2026-03-22 13:00:00,1800.0,0,2026-03-22
2026-03-22 13:30:00,1203.938,1,2026-03-22
2026-03-22 14:00:00,1800.0,0,2026-03-22
2026-03-22 14:30:00,1800.0,0,2026-03-22
2026-03-22 15:00:00,988.752,5,2026-03-22
2026-03-22 15:30:00,1388.175,1,2026-03-22
2026-03-22 16:00:00,1800.0,0,2026-03-22
2026-03-22 16:30:00,1122.756,4,2026-03-22
2026-03-22 17:00:00,732.693,1,2026-03-22
2026-03-22 17:30:00,1464.084,1,2026-03-22
2026-03-22 18:00:00,1800.0,0,2026-03-22
2026-03-22 18:30:00,1800.0,0,2026-03-22
2026-03-22 19:00:00,1264.613,1,2026-03-22
2026-03-22 19:30:00,3.416,1,2026-03-22
2026-03-22 20:00:00,131.368,7,2026-03-22
2026-03-22 20:30:00,243.921,5,2026-03-22
2026-03-22 21:00:00,121.633,8,2026-03-22
2026-03-22 21:30:00,302.641,5,2026-03-22
2026-03-22 22:00:00,507.469,9,2026-03-22
2026-03-22 22:30:00,365.556,5,2026-03-22
2026-03-22 23:00:00,463.632,8,2026-03-22
2026-03-22 23:30:00,207.169,5,2026-03-22
2026-03-23 00:00:00,637.662,8,2026-03-23
2026-03-23 00:30:00,173.087,5,2026-03-23
2026-03-23 01:00:00,169.104,7,2026-03-23
2026-03-23 01:30:00,50.405,4,2026-03-23
2026-03-23 02:00:00,1031.582,5,2026-03-23
2026-03-23 02:30:00,26.958,2,2026-03-23
2026-03-23 03:00:00,33.306,1,2026-03-23
2026-03-23 03:30:00,107.656,5,2026-03-23
2026-03-23 04:00:00,325.952,7,2026-03-23
2026-03-23 04:30:00,51.909,2,2026-03-23
2026-03-23 05:00:00,287.703,3,2026-03-23
2026-03-23 05:30:00,79.012,8,2026-03-23
2026-03-23 06:00:00,131.523,7,2026-03-23
2026-03-23 06:30:00,86.486,4,2026-03-23
2026-03-23 07:00:00,127.717,2,2026-03-23
2026-03-23 07:30:00,344.371,6,2026-03-23
2026-03-23 08:00:00,455.4,10,2026-03-23
2026-03-23 08:30:00,507.839,5,2026-03-23
2026-03-23 09:00:00,894.666,0,2026-03-23
2026-03-23 09:30:00,0.0,0,2026-03-23
2026-03-23 10:00:00,921.571,3,2026-03-23
2026-03-23 10:30:00,1800.0,0,2026-03-23
2026-03-23 11:00:00,1800.0,0,2026-03-23
2026-03-23 11:30:00,1766.534,0,2026-03-23
2026-03-23 12:00:00,55.879,1,2026-03-23
2026-03-23 12:30:00,1196.757,1,2026-03-23
2026-03-23 13:00:00,1300.534,2,2026-03-23
2026-03-23 13:30:00,1638.089,2,2026-03-23
2026-03-23 14:00:00,1645.604,2,2026-03-23
2026-03-23 14:30:00,1800.0,0,2026-03-23
2026-03-23 15:00:00,1249.756,3,2026-03-23
2026-03-23 15:30:00,1215.951,4,2026-03-23
2026-03-23 16:00:00,1018.22,1,2026-03-23
2026-03-23 16:30:00,1306.269,1,2026-03-23
2026-03-23 17:00:00,95.847,4,2026-03-23
2026-03-23 17:30:00,570.508,1,2026-03-23
2026-03-23 18:00:00,97.478,1,2026-03-23
2026-03-23 18:30:00,1356.741,1,2026-03-23
2026-03-23 19:00:00,314.324,4,2026-03-23
2026-03-23 19:30:00,342.28,3,2026-03-23
2026-03-23 20:00:00,247.03,6,2026-03-23
2026-03-23 20:30:00,378.915,6,2026-03-23
2026-03-23 21:00:00,116.726,9,2026-03-23
2026-03-23 21:30:00,267.775,10,2026-03-23
2026-03-23 22:00:00,365.042,8,2026-03-23
2026-03-23 22:30:00,412.51,8,2026-03-23
2026-03-23 23:00:00,341.703,8,2026-03-23
2026-03-23 23:30:00,466.41,5,2026-03-23
2026-03-24 00:00:00,130.9,4,2026-03-24
2026-03-24 00:30:00,328.851,7,2026-03-24
2026-03-24 01:00:00,371.591,5,2026-03-24
2026-03-24 01:30:00,10.186,1,2026-03-24
2026-03-24 02:00:00,315.105,5,2026-03-24
2026-03-24 02:30:00,383.902,4,2026-03-24
2026-03-24 03:00:00,65.13,1,2026-03-24
2026-03-24 03:30:00,19.344,2,2026-03-24
2026-03-24 04:00:00,196.374,5,2026-03-24
2026-03-24 04:30:00,528.954,5,2026-03-24
2026-03-24 05:00:00,372.556,2,2026-03-24
2026-03-24 05:30:00,75.926,3,2026-03-24
2026-03-24 06:00:00,502.274,5,2026-03-24
2026-03-24 06:30:00,128.606,6,2026-03-24
2026-03-24 07:00:00,321.218,12,2026-03-24
2026-03-24 07:30:00,531.293,14,2026-03-24
2026-03-24 08:00:00,107.266,4,2026-03-24
2026-03-24 08:30:00,30.451,2,2026-03-24
2026-03-24 09:00:00,1515.012,3,2026-03-24
2026-03-24 09:30:00,1309.862,1,2026-03-24
2026-03-24 10:00:00,936.058,5,2026-03-24
2026-03-24 10:30:00,161.916,2,2026-03-24
2026-03-24 11:00:00,1800.0,0,2026-03-24
2026-03-24 11:30:00,1800.0,0,2026-03-24
2026-03-24 12:00:00,1381.429,0,2026-03-24
2026-03-24 12:30:00,1129.645,1,2026-03-24
2026-03-24 13:00:00,0.0,0,2026-03-24
2026-03-24 13:30:00,1430.549,1,2026-03-24
2026-03-24 14:00:00,1470.418,3,2026-03-24
2026-03-24 14:30:00,1172.667,6,2026-03-24
2026-03-24 15:00:00,0.0,0,2026-03-24
2026-03-24 15:30:00,136.392,3,2026-03-24
2026-03-24 16:00:00,465.876,3,2026-03-24
2026-03-24 16:30:00,1203.861,5,2026-03-24
2026-03-24 17:00:00,1800.0,0,2026-03-24
2026-03-24 17:30:00,1123.692,1,2026-03-24
2026-03-24 18:00:00,656.19,2,2026-03-24
2026-03-24 18:30:00,38.307,0,2026-03-24
2026-03-24 19:00:00,0.0,0,2026-03-24
2026-03-24 19:30:00,767.656,1,2026-03-24
2026-03-24 20:00:00,480.065,2,2026-03-24
2026-03-24 20:30:00,168.48,3,2026-03-24
2026-03-24 21:00:00,52.509,3,2026-03-24
2026-03-24 21:30:00,203.19,5,2026-03-24
2026-03-24 22:00:00,270.226,7,2026-03-24
2026-03-24 22:30:00,351.547,9,2026-03-24
2026-03-24 23:00:00,103.146,4,2026-03-24
2026-03-24 23:30:00,81.261,4,2026-03-24
2026-03-25 00:00:00,283.626,7,2026-03-25
2026-03-25 00:30:00,91.635,4,2026-03-25
2026-03-25 01:00:00,182.209,3,2026-03-25
2026-03-25 01:30:00,67.986,5,2026-03-25
2026-03-25 02:00:00,70.788,8,2026-03-25
2026-03-25 02:30:00,261.568,8,2026-03-25
2026-03-25 03:00:00,216.21,4,2026-03-25
2026-03-25 03:30:00,26.473,6,2026-03-25
2026-03-25 04:00:00,199.944,4,2026-03-25
2026-03-25 04:30:00,167.795,5,2026-03-25
2026-03-25 05:00:00,42.51,3,2026-03-25
2026-03-25 05:30:00,196.498,3,2026-03-25
2026-03-25 06:00:00,269.616,7,2026-03-25
2026-03-25 06:30:00,245.855,9,2026-03-25
2026-03-25 07:00:00,0.0,0,2026-03-25
2026-03-25 07:30:00,77.703,4,2026-03-25
2026-03-25 08:00:00,243.329,9,2026-03-25
2026-03-25 08:30:00,266.73,2,2026-03-25
2026-03-25 09:00:00,51.402,2,2026-03-25
2026-03-25 09:30:00,246.512,5,2026-03-25
2026-03-25 10:00:00,0.0,0,2026-03-25
2026-03-25 10:30:00,1033.767,1,2026-03-25
2026-03-25 11:00:00,1800.0,0,2026-03-25
2026-03-25 11:30:00,888.022,4,2026-03-25
2026-03-25 12:00:00,283.705,2,2026-03-25
2026-03-25 12:30:00,1256.749,1,2026-03-25
2026-03-25 13:00:00,1800.0,0,2026-03-25
2026-03-25 13:30:00,1042.791,2,2026-03-25
2026-03-25 14:00:00,119.301,0,2026-03-25
2026-03-25 14:30:00,0.0,0,2026-03-25
2026-03-25 15:00:00,1146.13,2,2026-03-25
2026-03-25 15:30:00,1800.0,0,2026-03-25
2026-03-25 16:00:00,1289.324,0,2026-03-25
2026-03-25 16:30:00,1145.649,4,2026-03-25
2026-03-25 17:00:00,1694.372,2,2026-03-25
2026-03-25 17:30:00,1312.955,0,2026-03-25
2026-03-25 18:00:00,29.921,1,2026-03-25
2026-03-25 18:30:00,0.0,0,2026-03-25
2026-03-25 19:00:00,22.214,2,2026-03-25
2026-03-25 19:30:00,134.978,2,2026-03-25
2026-03-25 20:00:00,320.558,2,2026-03-25
2026-03-25 20:30:00,74.599,5,2026-03-25
2026-03-25 21:00:00,143.52,2,2026-03-25
2026-03-25 21:30:00,261.626,8,2026-03-25
2026-03-25 22:00:00,189.322,6,2026-03-25
2026-03-25 22:30:00,43.649,1,2026-03-25
2026-03-25 23:00:00,91.494,4,2026-03-25
2026-03-25 23:30:00,152.442,7,2026-03-25
2026-03-26 00:00:00,217.595,5,2026-03-26
2026-03-26 00:30:00,168.525,5,2026-03-26
