AnimalName	AnimalTag	Sex	GroupName	AnimalNotes
Animal 1	263000247290	Male	Default		0
Animal 2	263000247298	Male	Default		0
Animal 3	263000247219	Male	Default		0
Animal 4	263000247209	Male	Default		0
Animal 5	263000247238	Male	Default		0
Animal 6	263000247284	Male	Default		0
Animal 7	263000247241	Male	Default		0
Animal 8	263000247231	Male	Default		0
Animal 9	263000247275	Male	Default		0
Animal 10	263000247208	Male	Default		0
Animal 11	263000247234	Male	Default		0
Animal 12	263000247254	Male	Default		0
