DateTime	HardwareType	Cage	Corner	Side	State
2026-05-07 14:29:23.307	0	1	1		0
2026-05-07 14:29:23.338	0	1	2		0
2026-05-07 14:29:23.354	0	1	3		0
2026-05-07 14:29:23.385	0	1	4		0
2026-05-07 14:29:23.416	1	1	1	1	1
2026-05-07 14:29:23.416	2	1	1	1	0
2026-05-07 14:29:23.448	1	1	1	2	1
2026-05-07 14:29:23.463	2	1	1	2	0
2026-05-07 14:29:23.479	1	1	2	3	1
2026-05-07 14:29:23.494	2	1	2	3	0
2026-05-07 14:29:23.510	1	1	2	4	1
2026-05-07 14:29:23.526	2	1	2	4	0
2026-05-07 14:29:23.541	1	1	3	5	1
2026-05-07 14:29:23.557	2	1	3	5	0
2026-05-07 14:29:23.588	1	1	3	6	1
2026-05-07 14:29:23.604	2	1	3	6	0
2026-05-07 14:29:23.619	1	1	4	7	1
2026-05-07 14:29:23.635	2	1	4	7	0
2026-05-07 14:29:23.650	1	1	4	8	1
2026-05-07 14:29:23.666	2	1	4	8	0
2026-05-08 14:28:14.155	0	1	1		0
