OriginalTime	Time	ProcessingTime	TimeStamp	MessageType	Address	Destination	Source	SendCounter	ReceiveCounter	Data...
2026-05-07 14:29:23.151	2026-05-07 14:29:23.151	2026-05-07 14:29:23.151	0	BusAddress	1	255	1	145	0
2026-05-07 14:29:23.198	2026-05-07 14:29:23.198	2026-05-07 14:29:23.198	35	AutosendMode	1	255	1	146	0	255
2026-05-07 14:29:23.214	2026-05-07 14:29:23.214	2026-05-07 14:29:23.214	49	RFIDType	1	255	1	147	0	1	DataMars
2026-05-07 14:29:23.245	2026-05-07 14:29:23.245	2026-05-07 14:29:23.245	65	RFIDType	1	255	1	148	0	2	DataMars
2026-05-07 14:29:23.260	2026-05-07 14:29:23.260	2026-05-07 14:29:23.260	83	RFIDType	1	255	1	149	0	3	DataMars
2026-05-07 14:29:23.276	2026-05-07 14:29:23.276	2026-05-07 14:29:23.276	103	RFIDType	1	255	1	150	0	4	DataMars
2026-05-07 14:29:23.292	2026-05-07 14:29:23.292	2026-05-07 14:29:23.292	117	State	1	255	1	151	0	0	1	0	26	254	1	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0
2026-05-07 14:29:23.307	2026-05-07 14:29:23.307	2026-05-07 14:29:23.307	143	AirState	1	255	1	152	0	1	0
2026-05-07 14:29:23.338	2026-05-07 14:29:23.338	2026-05-07 14:29:23.338	166	AirState	1	255	1	153	0	2	0
2026-05-07 14:29:23.354	2026-05-07 14:29:23.354	2026-05-07 14:29:23.354	188	AirState	1	255	1	154	0	3	0
2026-05-07 14:29:23.385	2026-05-07 14:29:23.385	2026-05-07 14:29:23.385	211	AirState	1	255	1	155	0	4	0
2026-05-07 14:29:23.416	2026-05-07 14:29:23.402	2026-05-07 14:29:23.416	240	DoorState	1	255	1	156	0	1	1
2026-05-07 14:29:23.416	2026-05-07 14:29:23.416	2026-05-07 14:29:23.416	254	LedState	1	255	1	157	0	1	None	None	None
2026-05-07 14:29:23.448	2026-05-07 14:29:23.448	2026-05-07 14:29:23.448	274	DoorState	1	255	1	158	0	2	1
2026-05-07 14:29:23.463	2026-05-07 14:29:23.463	2026-05-07 14:29:23.463	288	LedState	1	255	1	159	0	2	None	None	None
2026-05-07 14:29:23.479	2026-05-07 14:29:23.479	2026-05-07 14:29:23.479	308	DoorState	1	255	1	160	0	3	1
2026-05-07 14:29:23.494	2026-05-07 14:29:23.494	2026-05-07 14:29:23.494	322	LedState	1	255	1	161	0	3	None	None	None
2026-05-07 14:29:23.510	2026-05-07 14:29:23.510	2026-05-07 14:29:23.510	344	DoorState	1	255	1	162	0	4	1
2026-05-07 14:29:23.526	2026-05-07 14:29:23.526	2026-05-07 14:29:23.526	358	LedState	1	255	1	163	0	4	None	None	None
2026-05-07 14:29:23.541	2026-05-07 14:29:23.541	2026-05-07 14:29:23.541	380	DoorState	1	255	1	164	0	5	1
2026-05-07 14:29:23.557	2026-05-07 14:29:23.557	2026-05-07 14:29:23.557	394	LedState	1	255	1	165	0	5	None	None	None
2026-05-07 14:29:23.588	2026-05-07 14:29:23.588	2026-05-07 14:29:23.588	416	DoorState	1	255	1	166	0	6	1
2026-05-07 14:29:23.604	2026-05-07 14:29:23.604	2026-05-07 14:29:23.604	430	LedState	1	255	1	167	0	6	None	None	None
2026-05-07 14:29:23.619	2026-05-07 14:29:23.619	2026-05-07 14:29:23.619	453	DoorState	1	255	1	168	0	7	1
2026-05-07 14:29:23.635	2026-05-07 14:29:23.635	2026-05-07 14:29:23.635	466	LedState	1	255	1	169	0	7	None	None	None
2026-05-07 14:29:23.650	2026-05-07 14:29:23.650	2026-05-07 14:29:23.650	486	DoorState	1	255	1	170	0	8	1
2026-05-07 14:29:23.666	2026-05-07 14:29:23.666	2026-05-07 14:29:23.666	500	LedState	1	255	1	171	0	8	None	None	None
2026-05-07 14:29:25.756	2026-05-07 14:29:25.756	2026-05-07 14:29:25.756	2583	FullCornerState	1	255	1	172	33	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	15107	38202	34513	41308	0	0	0	0
2026-05-07 14:29:28.299	2026-05-07 14:29:28.299	2026-05-07 14:29:28.299	5134	FullCornerState	1	255	1	173	33	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	51082	12	5632	21832	0	0	0	0
2026-05-07 14:29:30.858	2026-05-07 14:29:30.858	2026-05-07 14:29:30.858	7684	FullCornerState	1	255	1	174	33	3	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	25875	55346	14422	62718	0	0	0	0
2026-05-07 14:29:33.400	2026-05-07 14:29:33.400	2026-05-07 14:29:33.400	10234	FullCornerState	1	255	1	175	33	4	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	31530	954	21268	37202	0	0	0	0
2026-05-07 14:29:35.959	2026-05-07 14:29:35.959	2026-05-07 14:29:35.959	12784	FullCornerState	1	255	1	176	33	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	15107	38202	34513	41308	0	0	0	0
2026-05-07 14:29:38.502	2026-05-07 14:29:38.502	2026-05-07 14:29:38.502	15334	FullCornerState	1	255	1	177	33	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	51082	12	5632	21832	0	0	0	0
2026-05-07 14:29:41.060	2026-05-07 14:29:41.060	2026-05-07 14:29:41.060	17883	FullCornerState	1	255	1	178	33	3	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	25875	55346	14422	62718	0	0	0	0
2026-05-07 14:29:43.603	2026-05-07 14:29:43.603	2026-05-07 14:29:43.603	20434	FullCornerState	1	255	1	179	33	4	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	31530	954	21268	37202	0	0	0	0
2026-05-07 14:29:46.161	2026-05-07 14:29:46.161	2026-05-07 14:29:46.161	22984	FullCornerState	1	255	1	180	33	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	15107	38202	34513	41308	0	0	0	0
2026-05-07 14:29:48.704	2026-05-07 14:29:48.704	2026-05-07 14:29:48.704	25534	FullCornerState	1	255	1	181	33	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	51082	12	5632	21832	0	0	0	0
2026-05-07 14:29:51.247	2026-05-07 14:29:51.247	2026-05-07 14:29:51.247	28084	FullCornerState	1	255	1	182	33	3	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	25875	55346	14422	62718	0	0	0	0
2026-05-07 14:29:53.790	2026-05-07 14:29:53.790	2026-05-07 14:29:53.790	30633	FullCornerState	1	255	1	183	33	4	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	31530	954	21268	37202	0	0	0	0
2026-05-07 14:29:56.348	2026-05-07 14:29:56.348	2026-05-07 14:29:56.348	33184	FullCornerState	1	255	1	184	33	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	15107	38202	34513	41308	0	0	0	0
2026-05-07 14:29:58.891	2026-05-07 14:29:58.891	2026-05-07 14:29:58.891	35734	FullCornerState	1	255	1	185	33	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	51082	12	5632	21832	0	0	0	0
2026-05-07 14:30:01.449	2026-05-07 14:30:01.449	2026-05-07 14:30:01.449	38283	FullCornerState	1	255	1	186	33	3	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	NoAnimal		1	1	25875	55346	14422	62718	0	0	0	0
