DateTime	LogCategory	LogType	Cage	Corner	Side	LogNotes
2026-05-07 14:29:23.136	Info	Application				Session is started
2026-05-07 16:49:20.271	Warning	Lickometer	1	2	4	Lickometer is active without corresponding visit and nosepoke.
2026-05-07 17:00:46.205	Warning	Antenna	1	2		Unregistered tag 215004961169
2026-05-07 17:03:53.296	Warning	Antenna	1	1		Unregistered tag 215004961169
2026-05-07 17:04:08.100	Warning	Antenna	1	1		Unregistered tag 215004961169
2026-05-07 17:05:35.975	Warning	Antenna	1	3		Unregistered tag 215004961169
2026-05-07 17:05:41.373	Warning	Antenna	1	3		Unregistered tag 215004961169
2026-05-07 17:05:53.884	Warning	Antenna	1	3		Unregistered tag 215004961169
2026-05-07 17:06:03.759	Warning	Antenna	1	3		Unregistered tag 215004961169
2026-05-07 17:06:08.236	Warning	Antenna	1	3		Unregistered tag 215004961169
2026-05-07 17:06:10.732	Warning	Antenna	1	3		Unregistered tag 215004961169
2026-05-07 17:06:16.176	Warning	Antenna	1	3		Unregistered tag 215004961169
2026-05-07 17:06:17.206	Warning	Antenna	1	3		Unregistered tag 215004961169
2026-05-07 17:06:19.172	Warning	Antenna	1	3		Unregistered tag 215004961169
2026-05-07 17:12:39.391	Warning	Antenna	1	2		Unregistered tag 215004961169
2026-05-07 17:27:55.768	Warning	Antenna	1	4		Unregistered tag 215004961169
2026-05-07 17:27:59.762	Warning	Antenna	1	4		Unregistered tag 215004961169
2026-05-07 17:29:56.824	Warning	Antenna	1	4		Unregistered tag 215004961169
2026-05-07 17:29:58.837	Warning	Antenna	1	4		Unregistered tag 215004961169
2026-05-07 17:33:15.865	Warning	Antenna	1	3		Unregistered tag 215004961169
2026-05-07 17:46:10.219	Warning	Antenna	1	2		Unregistered tag 215004961169
2026-05-07 17:46:20.063	Warning	Antenna	1	1		Unregistered tag 215004961169
2026-05-07 17:46:49.266	Warning	Antenna	1	1		Unregistered tag 215004961169
2026-05-07 19:49:20.046	Warning	Antenna	1	2		Unregistered tag 215004961169
2026-05-07 19:49:22.838	Warning	Antenna	1	2		Unregistered tag 215004961169
2026-05-07 20:16:39.421	Warning	Antenna	1	2		Unregistered tag 215004961169
2026-05-07 20:16:46.675	Warning	Antenna	1	2		Unregistered tag 215004961169
2026-05-07 20:17:07.501	Warning	Antenna	1	2		Unregistered tag 215004961169
2026-05-07 20:17:11.292	Warning	Antenna	1	2		Unregistered tag 215004961169
2026-05-07 20:17:12.899	Warning	Antenna	1	2		Unregistered tag 215004961169
2026-05-07 20:17:19.420	Warning	Antenna	1	2		Unregistered tag 215004961169
2026-05-07 20:25:35.579	Warning	Antenna	1	2		Unregistered tag 215004961169
2026-05-07 20:55:13.732	Warning	Antenna	1	4		Unregistered tag 215004961169
