feature,rho
rhythm_ratio_24_over_harm,0.7902097902097903
power_24h,0.7062937062937064
autocorr_12h,-0.6643356643356644
power_12h,-0.6573426573426573
cosinor_amplitude,0.6573426573426573
median_activity,-0.6465540598816897
activity_kurtosis,-0.6083916083916086
high_activity_frac,0.5775521046333686
activity_skew,-0.5594405594405596
bout_len_cv,-0.5454545454545455
max_activity,-0.5454545454545455
peak_to_mean_ratio,-0.5244755244755246
max_median_ratio,0.5174825174825175
cosinor_mesor,0.5174825174825175
night_mean_activity,-0.4755244755244756
night_activity,-0.4755244755244756
rolling_std_1h,0.4475524475524475
ibi_p75,0.4377917304727157
std_activity,-0.4265734265734266
activity_per_bout,-0.4195804195804196
mean_activity,-0.4055944055944056
activity_per_hour,-0.4055944055944056
total_activity,-0.4055944055944056
night_peak_hour,-0.3930418320670321
gini_coefficient,0.3916083916083916
ibi_p90,0.3636363636363637
num_bouts_day,-0.354009471579317
bout_rate_day,-0.354009471579317
power_8h,0.3356643356643357
median_bout_len,0.3300145586328109
ibi_max,0.319025094417226
longest_inactive_run,0.319025094417226
bout_len_skew,-0.3146853146853147
ibi_mean,0.3122826240910142
transitions_per_hour,-0.3122826240910142
num_bouts,-0.3122826240910142
mean_bout_len,0.3122826240910142
ibi_median,0.3117828997033344
day_mean_activity,-0.3006993006993007
day_activity,-0.3006993006993007
bout_rate_ratio,-0.2867132867132868
hourly_entropy_norm,0.2867132867132868
ibi_cv,-0.2867132867132868
hourly_entropy,0.2867132867132868
min_activity,0.2716154993164596
ibi_skew,-0.2657342657342658
bout_len_kurt,-0.2517482517482518
daily_peak_std,-0.2447552447552448
short_bout_frac,-0.2377622377622378
night_gini,-0.2324001290173195
fano_30m,-0.2237762237762237
interdaily_stability,-0.2237762237762237
night_first_2h_frac,0.2112728445611996
relative_amplitude,-0.2097902097902098
day_minus_night,0.1888111888111888
cv_activity,0.1818181818181818
active_fraction_night,-0.1646237200595113
active_fraction_day,0.1646237200595113
intradaily_variability,0.1608391608391608
autocorr_24h,-0.1608391608391608
day_night_ratio,-0.1538461538461538
night_frac,0.1538461538461538
day_frac,-0.1538461538461538
daynight_log_ratio,-0.1538461538461538
ibi_kurt,-0.1398601398601399
daily_total_cv,-0.1118881118881118
num_bouts_night,0.0932193090094134
bout_rate_night,0.0932193090094134
cosinor_acrophase,-0.0909090909090909
night_activity_per_bout,0.0909090909090909
longest_active_run,-0.086366703417506
peak_hour,0.0797325472097299
night_transitions_per_hour,-0.0638362093879207
night_bout_len_mean,0.0638362093879207
p95_bout_len,-0.058450242919486
night_ibi_cv,-0.0559440559440559
night_day_intensity_ratio,0.0279720279720279
day_cv_activity,0.0279720279720279
night_cv_activity,0.0139860139860139
night_onset_latency_h,-0.0126068226414824
night_ibi_median,-0.0077810998638347
night_bout_len_cv,0.0069930069930069
short_gap_frac,0.0
activity_offset,
