Description:
Start date: 2026-03-17 00:00:00
End date: 2026-03-18 00:00:00
Sampling interval: 30T
Animal: Animal 8
Tag: 263000247231
Sex: Male
Cage: 1

Data:
date, duration, values, day
2026-03-17 00:00:00,0.0,0,2026-03-17
2026-03-17 00:30:00,0.0,0,2026-03-17
2026-03-17 01:00:00,0.0,0,2026-03-17
2026-03-17 01:30:00,0.0,0,2026-03-17
2026-03-17 02:00:00,0.0,0,2026-03-17
2026-03-17 02:30:00,0.0,0,2026-03-17
2026-03-17 03:00:00,0.0,0,2026-03-17
2026-03-17 03:30:00,0.0,0,2026-03-17
2026-03-17 04:00:00,0.0,0,2026-03-17
2026-03-17 04:30:00,0.0,0,2026-03-17
2026-03-17 05:00:00,0.0,0,2026-03-17
2026-03-17 05:30:00,0.0,0,2026-03-17
2026-03-17 06:00:00,0.0,0,2026-03-17
2026-03-17 06:30:00,0.0,0,2026-03-17
2026-03-17 07:00:00,0.0,0,2026-03-17
2026-03-17 07:30:00,0.0,0,2026-03-17
2026-03-17 08:00:00,0.0,0,2026-03-17
2026-03-17 08:30:00,0.0,0,2026-03-17
2026-03-17 09:00:00,0.0,0,2026-03-17
2026-03-17 09:30:00,0.0,0,2026-03-17
2026-03-17 10:00:00,0.0,0,2026-03-17
2026-03-17 10:30:00,0.0,0,2026-03-17
2026-03-17 11:00:00,0.0,0,2026-03-17
2026-03-17 11:30:00,0.0,0,2026-03-17
2026-03-17 12:00:00,0.0,0,2026-03-17
2026-03-17 12:30:00,0.0,0,2026-03-17
2026-03-17 13:00:00,0.0,0,2026-03-17
2026-03-17 13:30:00,0.0,0,2026-03-17
2026-03-17 14:00:00,0.0,0,2026-03-17
2026-03-17 14:30:00,0.0,0,2026-03-17
2026-03-17 15:00:00,0.0,0,2026-03-17
2026-03-17 15:30:00,0.0,0,2026-03-17
2026-03-17 16:00:00,0.0,0,2026-03-17
2026-03-17 16:30:00,0.0,0,2026-03-17
2026-03-17 17:00:00,0.0,0,2026-03-17
2026-03-17 17:30:00,0.0,0,2026-03-17
2026-03-17 18:00:00,0.0,0,2026-03-17
2026-03-17 18:30:00,72.994,3,2026-03-17
2026-03-17 19:00:00,172.006,4,2026-03-17
2026-03-17 19:30:00,103.494,1,2026-03-17
2026-03-17 20:00:00,769.748,8,2026-03-17
2026-03-17 20:30:00,530.591,7,2026-03-17
2026-03-17 21:00:00,1161.116,5,2026-03-17
2026-03-17 21:30:00,654.313,7,2026-03-17
2026-03-17 22:00:00,575.811,6,2026-03-17
2026-03-17 22:30:00,1057.349,2,2026-03-17
2026-03-17 23:00:00,401.25,2,2026-03-17
2026-03-17 23:30:00,1236.175,1,2026-03-17
2026-03-18 00:00:00,1038.243,7,2026-03-18
2026-03-18 00:30:00,588.502,3,2026-03-18
2026-03-18 01:00:00,82.55,2,2026-03-18
2026-03-18 01:30:00,579.919,7,2026-03-18
2026-03-18 02:00:00,591.16,8,2026-03-18
2026-03-18 02:30:00,812.669,5,2026-03-18
2026-03-18 03:00:00,249.35,0,2026-03-18
2026-03-18 03:30:00,1538.644,3,2026-03-18
2026-03-18 04:00:00,1156.199,2,2026-03-18
2026-03-18 04:30:00,264.665,1,2026-03-18
2026-03-18 05:00:00,114.026,0,2026-03-18
2026-03-18 05:30:00,211.576,4,2026-03-18
2026-03-18 06:00:00,127.632,1,2026-03-18
2026-03-18 06:30:00,1112.251,11,2026-03-18
2026-03-18 07:00:00,98.452,4,2026-03-18
2026-03-18 07:30:00,295.495,8,2026-03-18
2026-03-18 08:00:00,487.37,12,2026-03-18
2026-03-18 08:30:00,943.419,2,2026-03-18
2026-03-18 09:00:00,258.286,7,2026-03-18
2026-03-18 09:30:00,446.925,4,2026-03-18
2026-03-18 10:00:00,0.0,0,2026-03-18
2026-03-18 10:30:00,0.0,0,2026-03-18
2026-03-18 11:00:00,21.513,1,2026-03-18
2026-03-18 11:30:00,0.0,0,2026-03-18
2026-03-18 12:00:00,0.0,0,2026-03-18
2026-03-18 12:30:00,0.0,0,2026-03-18
2026-03-18 13:00:00,0.0,0,2026-03-18
2026-03-18 13:30:00,0.0,0,2026-03-18
2026-03-18 14:00:00,0.0,0,2026-03-18
2026-03-18 14:30:00,0.0,0,2026-03-18
2026-03-18 15:00:00,0.0,0,2026-03-18
2026-03-18 15:30:00,0.0,0,2026-03-18
2026-03-18 16:00:00,0.0,0,2026-03-18
2026-03-18 16:30:00,0.0,0,2026-03-18
2026-03-18 17:00:00,0.0,0,2026-03-18
2026-03-18 17:30:00,0.0,0,2026-03-18
2026-03-18 18:00:00,0.0,0,2026-03-18
2026-03-18 18:30:00,0.0,0,2026-03-18
2026-03-18 19:00:00,0.0,0,2026-03-18
2026-03-18 19:30:00,0.0,0,2026-03-18
2026-03-18 20:00:00,0.0,0,2026-03-18
2026-03-18 20:30:00,0.0,0,2026-03-18
2026-03-18 21:00:00,0.0,0,2026-03-18
2026-03-18 21:30:00,0.0,0,2026-03-18
2026-03-18 22:00:00,0.0,0,2026-03-18
2026-03-18 22:30:00,0.0,0,2026-03-18
2026-03-18 23:00:00,0.0,0,2026-03-18
2026-03-18 23:30:00,0.0,0,2026-03-18
