Description:
Start date: 2026-04-08 00:00:00
End date: 2026-04-10 00:00:00
Sampling interval: 30T
Animal: Animal 8
Tag: 263000247231
Sex: Male
Cage: 1

Data:
date, duration, values, day
2026-04-08 00:00:00,0.0,0,2026-04-08
2026-04-08 00:30:00,0.0,0,2026-04-08
2026-04-08 01:00:00,0.0,0,2026-04-08
2026-04-08 01:30:00,0.0,0,2026-04-08
2026-04-08 02:00:00,0.0,0,2026-04-08
2026-04-08 02:30:00,0.0,0,2026-04-08
2026-04-08 03:00:00,0.0,0,2026-04-08
2026-04-08 03:30:00,0.0,0,2026-04-08
2026-04-08 04:00:00,0.0,0,2026-04-08
2026-04-08 04:30:00,0.0,0,2026-04-08
2026-04-08 05:00:00,0.0,0,2026-04-08
2026-04-08 05:30:00,0.0,0,2026-04-08
2026-04-08 06:00:00,0.0,0,2026-04-08
2026-04-08 06:30:00,0.0,0,2026-04-08
2026-04-08 07:00:00,0.0,0,2026-04-08
2026-04-08 07:30:00,0.0,0,2026-04-08
2026-04-08 08:00:00,0.0,0,2026-04-08
2026-04-08 08:30:00,0.0,0,2026-04-08
2026-04-08 09:00:00,0.0,0,2026-04-08
2026-04-08 09:30:00,0.0,0,2026-04-08
2026-04-08 10:00:00,0.0,0,2026-04-08
2026-04-08 10:30:00,0.0,0,2026-04-08
2026-04-08 11:00:00,0.0,0,2026-04-08
2026-04-08 11:30:00,0.0,0,2026-04-08
2026-04-08 12:00:00,0.0,0,2026-04-08
2026-04-08 12:30:00,0.0,0,2026-04-08
2026-04-08 13:00:00,0.0,0,2026-04-08
2026-04-08 13:30:00,0.0,0,2026-04-08
2026-04-08 14:00:00,0.0,0,2026-04-08
2026-04-08 14:30:00,0.0,0,2026-04-08
2026-04-08 15:00:00,0.0,0,2026-04-08
2026-04-08 15:30:00,0.0,0,2026-04-08
2026-04-08 16:00:00,0.0,0,2026-04-08
2026-04-08 16:30:00,0.0,0,2026-04-08
2026-04-08 17:00:00,0.0,0,2026-04-08
2026-04-08 17:30:00,1362.211,2,2026-04-08
2026-04-08 18:00:00,355.884,2,2026-04-08
2026-04-08 18:30:00,384.34,6,2026-04-08
2026-04-08 19:00:00,1502.726,2,2026-04-08
2026-04-08 19:30:00,1654.077,2,2026-04-08
2026-04-08 20:00:00,844.181,1,2026-04-08
2026-04-08 20:30:00,162.973,1,2026-04-08
2026-04-08 21:00:00,335.368,10,2026-04-08
2026-04-08 21:30:00,133.646,4,2026-04-08
2026-04-08 22:00:00,794.321,4,2026-04-08
2026-04-08 22:30:00,885.402,3,2026-04-08
2026-04-08 23:00:00,475.545,1,2026-04-08
2026-04-08 23:30:00,561.523,13,2026-04-08
2026-04-09 00:00:00,598.255,7,2026-04-09
2026-04-09 00:30:00,410.958,3,2026-04-09
2026-04-09 01:00:00,924.394,4,2026-04-09
2026-04-09 01:30:00,442.211,3,2026-04-09
2026-04-09 02:00:00,297.791,3,2026-04-09
2026-04-09 02:30:00,147.997,4,2026-04-09
2026-04-09 03:00:00,613.767,3,2026-04-09
2026-04-09 03:30:00,411.131,3,2026-04-09
2026-04-09 04:00:00,492.704,2,2026-04-09
2026-04-09 04:30:00,398.211,5,2026-04-09
2026-04-09 05:00:00,886.56,5,2026-04-09
2026-04-09 05:30:00,1033.985,2,2026-04-09
2026-04-09 06:00:00,257.259,4,2026-04-09
2026-04-09 06:30:00,523.554,8,2026-04-09
2026-04-09 07:00:00,263.767,12,2026-04-09
2026-04-09 07:30:00,407.899,9,2026-04-09
2026-04-09 08:00:00,1387.753,8,2026-04-09
2026-04-09 08:30:00,1153.369,1,2026-04-09
2026-04-09 09:00:00,1000.57,5,2026-04-09
2026-04-09 09:30:00,1259.164,3,2026-04-09
2026-04-09 10:00:00,1140.852,1,2026-04-09
2026-04-09 10:30:00,1465.843,0,2026-04-09
2026-04-09 11:00:00,961.643,2,2026-04-09
2026-04-09 11:30:00,1507.638,1,2026-04-09
2026-04-09 12:00:00,1161.727,3,2026-04-09
2026-04-09 12:30:00,1604.579,2,2026-04-09
2026-04-09 13:00:00,1485.56,0,2026-04-09
2026-04-09 13:30:00,1731.073,3,2026-04-09
2026-04-09 14:00:00,1404.658,0,2026-04-09
2026-04-09 14:30:00,1275.146,1,2026-04-09
2026-04-09 15:00:00,752.082,6,2026-04-09
2026-04-09 15:30:00,837.135,1,2026-04-09
2026-04-09 16:00:00,511.701,2,2026-04-09
2026-04-09 16:30:00,1305.916,1,2026-04-09
2026-04-09 17:00:00,1348.054,0,2026-04-09
2026-04-09 17:30:00,1565.717,3,2026-04-09
2026-04-09 18:00:00,116.419,0,2026-04-09
2026-04-09 18:30:00,0.0,0,2026-04-09
2026-04-09 19:00:00,210.125,2,2026-04-09
2026-04-09 19:30:00,1800.0,0,2026-04-09
2026-04-09 20:00:00,1565.906,1,2026-04-09
2026-04-09 20:30:00,428.512,0,2026-04-09
2026-04-09 21:00:00,223.144,3,2026-04-09
2026-04-09 21:30:00,313.483,9,2026-04-09
2026-04-09 22:00:00,245.639,8,2026-04-09
2026-04-09 22:30:00,360.755,11,2026-04-09
2026-04-09 23:00:00,1183.627,4,2026-04-09
2026-04-09 23:30:00,141.917,0,2026-04-09
2026-04-10 00:00:00,55.146,3,2026-04-10
2026-04-10 00:30:00,197.946,8,2026-04-10
2026-04-10 01:00:00,158.761,1,2026-04-10
2026-04-10 01:30:00,375.383,3,2026-04-10
2026-04-10 02:00:00,32.854,3,2026-04-10
2026-04-10 02:30:00,343.896,6,2026-04-10
2026-04-10 03:00:00,943.558,5,2026-04-10
2026-04-10 03:30:00,1034.826,3,2026-04-10
2026-04-10 04:00:00,300.142,6,2026-04-10
2026-04-10 04:30:00,225.328,4,2026-04-10
2026-04-10 05:00:00,486.358,6,2026-04-10
2026-04-10 05:30:00,1081.912,3,2026-04-10
2026-04-10 06:00:00,134.659,7,2026-04-10
2026-04-10 06:30:00,350.534,14,2026-04-10
2026-04-10 07:00:00,279.895,12,2026-04-10
2026-04-10 07:30:00,1457.881,9,2026-04-10
2026-04-10 08:00:00,382.348,4,2026-04-10
2026-04-10 08:30:00,1155.33,5,2026-04-10
2026-04-10 09:00:00,802.144,5,2026-04-10
2026-04-10 09:30:00,265.292,3,2026-04-10
2026-04-10 10:00:00,1721.227,1,2026-04-10
2026-04-10 10:30:00,1010.967,1,2026-04-10
2026-04-10 11:00:00,1800.0,0,2026-04-10
2026-04-10 11:30:00,600.78,4,2026-04-10
2026-04-10 12:00:00,1800.0,0,2026-04-10
2026-04-10 12:30:00,1798.767,1,2026-04-10
2026-04-10 13:00:00,1170.893,4,2026-04-10
2026-04-10 13:30:00,440.182,1,2026-04-10
2026-04-10 14:00:00,1800.0,0,2026-04-10
2026-04-10 14:30:00,1800.0,0,2026-04-10
2026-04-10 15:00:00,1455.052,1,2026-04-10
2026-04-10 15:30:00,0.0,0,2026-04-10
2026-04-10 16:00:00,0.0,0,2026-04-10
2026-04-10 16:30:00,0.0,0,2026-04-10
2026-04-10 17:00:00,0.0,0,2026-04-10
2026-04-10 17:30:00,0.0,0,2026-04-10
2026-04-10 18:00:00,0.0,0,2026-04-10
2026-04-10 18:30:00,0.0,0,2026-04-10
2026-04-10 19:00:00,0.0,0,2026-04-10
2026-04-10 19:30:00,0.0,0,2026-04-10
2026-04-10 20:00:00,0.0,0,2026-04-10
2026-04-10 20:30:00,0.0,0,2026-04-10
2026-04-10 21:00:00,0.0,0,2026-04-10
2026-04-10 21:30:00,0.0,0,2026-04-10
2026-04-10 22:00:00,0.0,0,2026-04-10
2026-04-10 22:30:00,0.0,0,2026-04-10
2026-04-10 23:00:00,0.0,0,2026-04-10
2026-04-10 23:30:00,0.0,0,2026-04-10
