animal,total_activity,mean_activity,std_activity,max_activity,min_activity,cv_activity,median_activity,max_median_ratio,activity_per_hour,activity_skew,activity_kurtosis,gini_coefficient,high_activity_frac,actual_rank,day_activity,night_activity,day_night_ratio,day_mean_activity,night_mean_activity,day_cv_activity,night_cv_activity,daynight_log_ratio,peak_hour,num_bouts,num_bouts_day,num_bouts_night,bout_rate_day,bout_rate_night,bout_rate_ratio,mean_bout_len,median_bout_len,p95_bout_len,bout_len_skew,bout_len_kurt,bout_len_cv,short_bout_frac,transitions_per_hour,ibi_mean,ibi_median,ibi_min,ibi_max,ibi_p25,ibi_p75,ibi_iqr,ibi_p90,ibi_skew,ibi_kurt,ibi_cv,short_gap_frac,day_frac,night_frac,day_minus_night,activity_per_bout,hourly_entropy,hourly_entropy_norm,peak_to_mean_ratio,power_24h,power_12h,power_8h,rhythm_ratio_24_over_harm,daily_total_cv,daily_peak_std,fano_30m,cosinor_mesor,cosinor_amplitude,cosinor_acrophase,relative_amplitude,interdaily_stability,intradaily_variability,activity_onset,activity_offset,active_window_len,longest_inactive_run,longest_active_run,active_fraction_day,active_fraction_night,rolling_std_1h,autocorr_24h,autocorr_12h
animal_1,2077.0,1.5465376023827253,2.0427382143289727,13.714285714285717,-1.8000000000000014,1.320846134734622,0.8857142857142858,15.483870950260147,86.54166666666667,1.8683361941673489,4.344174271608685,0.658912211728057,0.2285927029039464,,1029.1142857142856,1047.8857142857144,0.9820863780128694,1.5314200680272108,1.5616776665956995,1.4970981293326786,1.1262108200764782,-0.018058623091795845,12,162,79,90,6.583333333333333,7.5,0.8777777776607407,4.327160493827161,3.0,13.0,2.0229997465867897,4.75235339288354,0.9349716625801714,0.7222222222222222,0.9650037230053164,3.938650306748466,1.0,1.0,67.0,1.0,4.0,3.0,10.0,6.1333964928393225,46.85594976522975,1.860360913848876,0.7730061349693251,0.4954811197466491,0.5045188802528694,-18.771428571428714,12.820987654241847,2.8562231993368545,0.8987334236007088,3.1155925441554837,217911.64549774403,711888.6207020789,309813.9055354933,0.21328286844920039,0.42172229909489994,5.630867310340981,4.205303975229833,1.546831399483251,0.6964640854672994,4.33293302620776,0.9999999996631376,0.9865686404722417,0.8875032942582902,0.0,23.0,23.0,67.0,25.0,0.47023809523739546,0.5737704918024236,1.0416170458305702,0.5739368612858037,0.16934745546291244
animal_2,1370.0,1.0201042442293373,1.3968006554268986,7.5428571428571445,-0.8571428571428579,1.3692724673272443,0.3428571428571429,21.999999935833333,57.083333333333336,1.4717122519083432,1.9072280845472989,0.6988104231806362,0.2501861504095309,,583.0857142857143,786.9142857142857,0.7409774163096362,0.867687074829932,1.1727485629124974,1.5099776928743838,1.2480120789290883,-0.29934156637165543,1,122,55,73,4.583333333333333,6.083333333333333,0.7534246574103959,5.262295081967213,3.0,13.0,1.6889578284828755,3.5802975441321108,0.8083616931776977,0.5491803278688525,0.7267311988064729,5.699186991869919,1.0,1.0,67.0,1.0,7.0,6.0,13.0,3.910163863113,20.6561497393105,1.5744794674367673,0.5934959349593496,0.425610010427218,0.5743899895720521,-203.82857142857142,11.229508196629267,2.8189626858436982,0.887009105674645,2.9956204379037263,126574.22420458587,332421.854639966,126168.62565980159,0.27600709051319083,0.4057374263408944,7.422488351848949,3.0261398330738123,1.020455750249733,0.5302444961574437,4.828627883996879,1.009002250032782,0.9351676751647257,0.840144526546553,0.0,22.0,22.0,67.0,25.0,0.4136904761898606,0.5424739195222914,0.6996546632069413,0.5471364865927161,0.11513034710277611
animal_3,1067.0,0.7944899478778853,1.2407781552701211,7.200000000000001,-1.22857142857143,1.5617292057429923,0.14285714285714263,50.39999964720009,44.458333333333336,1.7341284979142597,3.0589856471184955,0.7609454297420146,0.233060312732688,,370.11428571428576,696.8857142857144,0.5310975359763848,0.550765306122449,1.038577815626996,2.0200695254462198,1.2645035911112843,-0.6315452933237493,1,130,55,80,4.583333333333333,6.666666666666667,0.6874999998968749,4.346153846153846,3.0,11.0,1.2979320051080996,1.3361929033830782,0.7407560697828779,0.6076923076923076,0.7743857036462416,5.938931297709924,1.0,1.0,67.0,1.0,5.0,4.0,18.0,3.1863851677914803,11.829006243867486,1.8301157401003258,0.7404580152671756,0.3468737448115641,0.6531262551874988,-326.7714285714286,8.207692307629172,2.7170340564881075,0.8549364490121871,3.3051814164472795,235687.4461074825,95572.30285131733,93700.94352492061,1.2452232453337913,0.46505817648164954,6.162250671088717,3.08583404355687,0.794992708711544,0.7228221964395879,4.936446946887766,1.009367680947262,0.7699654527695474,0.8192504011779668,0.0,23.0,23.0,67.0,15.0,0.29910714285669776,0.5424739195222914,0.5673539559379194,0.5090302809678846,-0.20444751089514246
animal_4,2225.0,1.6567386448250185,2.2893999360963386,13.371428571428574,-1.3714285714285726,1.381871511989835,0.6857142857142858,19.499999971562502,92.70833333333333,1.667565912190261,2.5633611923506354,0.6858434233030428,0.2501861504095309,,880.8000000000001,1344.2,0.6552596339830382,1.3107142857142857,2.00327868852459,1.7093642459486955,1.1416658154760937,-0.4223327069422771,11,129,61,70,5.083333333333333,5.833333333333333,0.8714285712791836,4.75968992248062,3.0,14.199999999999989,1.575038494459257,2.354160385388518,1.0509038896119698,0.627906976744186,0.7684288905412705,5.607692307692307,1.0,1.0,69.0,1.0,5.0,4.0,18.10000000000001,3.406660452833997,14.143398016813777,1.8783297350901964,0.7384615384615385,0.39586516853914794,0.6041348314604027,-463.4,17.24806201537017,2.729638100331611,0.8589024119934119,3.0152937399353728,835949.870072687,497640.1303936782,582278.4091987477,0.7740860439234462,0.4713902653597593,5.6780278266313555,5.052761888563969,1.6575997484797738,1.3638002704263366,4.742785568012683,1.0022263448231694,0.9867694738063149,0.8102853701417995,0.0,21.0,21.0,69.0,25.0,0.3571428571423257,0.5573770491794973,1.0161916684530918,0.7389127370256535,-0.2383625395708055
animal_5,2039.0,1.5182427401340284,1.9736094917902502,11.314285714285717,-1.0857142857142872,1.2999301360835243,0.6857142857142858,16.499999975937502,84.95833333333333,1.5209923958256455,2.0632819996366774,0.6633467926439636,0.23008190618019358,,867.1142857142858,1171.8857142857141,0.7399307587283013,1.2903486394557824,1.7464764743453265,1.425176940588672,1.1888147358393761,-0.30089904206772555,1,142,72,76,6.0,6.333333333333333,0.9473684209030471,4.612676056338028,3.0,12.899999999999977,1.4361031953615615,1.8024282244446503,0.7609994071254548,0.5915492957746479,0.8458674609058947,4.811188811188811,1.0,1.0,67.0,1.0,5.0,4.0,10.799999999999997,4.176526473417566,22.209176320647117,1.8308842490841217,0.7132867132867133,0.42526448539179035,0.5747355146077192,-304.7714285714284,14.359154929476345,2.84796811737624,0.896135896182582,2.80809920826233,549990.5611561426,297365.4188320538,265826.13175358647,0.9765603915474735,0.4675608183808317,5.904423953462541,4.002981639524383,1.518889025921473,1.1040126309688099,4.635257912715056,1.0022796349917948,0.9804527025110421,0.884184067970825,0.0,21.0,21.0,67.0,17.0,0.43154761904697686,0.543964232488012,0.9979041743089305,0.5360972067821528,-0.13665187335988122
animal_6,1435.0,1.0685033507073716,1.4060346388853582,8.571428571428573,-1.8857142857142872,1.3158916515839971,0.6285714285714283,13.63636361466943,59.791666666666664,1.639926946955734,3.016183182546923,0.6681341557926035,0.22114668652271036,,572.9714285714286,862.0285714285715,0.6646780020549535,0.8526360544217688,1.2846923568235045,1.5202490278245755,1.150219031766326,-0.4078681785641374,1,154,83,77,6.916666666666667,6.416666666666667,1.07792207775409,4.5064935064935066,3.0,13.0,2.231472902329853,5.812751422922894,0.9533461794988403,0.6558441558441559,0.9173492181655477,4.187096774193549,1.0,1.0,67.0,1.0,5.0,4.0,9.0,4.693381786222047,29.311173886310712,1.8777578472846588,0.7225806451612903,0.39928322548503786,0.6007167745142653,-289.0571428571428,9.31818181812131,2.874697212073924,0.9045464191392524,2.6276953707873125,217235.90651994976,194539.8321426427,126709.34065667001,0.6762224619194843,0.49016819507975656,5.838569078883018,2.877017633899173,1.0689484764217305,0.6965870184056631,4.762374004724675,0.9999999996028368,0.9310589498777829,0.8947290395308023,0.0,23.0,23.0,67.0,23.0,0.43601190476125595,0.5976154992539529,0.7176219164606156,0.5569897947642564,-0.028991858813596776
animal_7,2300.0,1.712583767684289,2.1013652758907426,12.685714285714289,-1.971428571428573,1.2270145937048988,1.0285714285714285,12.333333321342595,95.83333333333333,1.4990734515118151,2.3671535776790193,0.6337795331671465,0.24125093075204765,,1132.542857142857,1167.4571428571428,0.9700937324098773,1.685331632653061,1.7398765169256971,1.292479906466478,1.162548171043925,-0.03033619744915317,11,143,68,83,5.666666666666667,6.916666666666667,0.8192771083152852,4.986013986013986,3.0,14.800000000000011,1.8851184869917763,3.966357422127258,0.9016236779951247,0.5874125874125874,0.8518242740108658,4.375,1.0,1.0,67.0,1.0,5.0,4.0,11.700000000000017,4.945943692042065,34.86330840950268,1.7214400970453831,0.7361111111111112,0.4924099378879846,0.5075900621115805,-34.914285714285825,16.08391608380361,2.8844517267583907,0.9076157550300783,2.76014906829418,316080.02807214786,789508.7771946015,231681.42767754698,0.30952121021540774,0.4098363692129195,5.87045332340035,4.003260100097581,1.7129665516211952,0.8398030058199889,4.389408068505587,0.9999999996752493,1.054693554129166,0.899737575399335,0.0,23.0,23.0,67.0,25.0,0.5014880952373489,0.5603576751109384,1.080311241931131,0.6107206723804995,0.1229820823059624
animal_8,1945.0,1.4482501861504096,1.8055781548143985,10.971428571428573,-1.8000000000000014,1.246730828748451,0.8285714285714278,13.241379294363867,81.04166666666667,1.6355099957938584,2.9406151499215287,0.6349555002763196,0.24720774385703648,,816.5142857142857,1128.4857142857143,0.7235486239461225,1.2150510204081633,1.681796891632957,1.4875228726166196,1.055173015023057,-0.3232493105080758,11,167,80,97,6.666666666666667,8.083333333333334,0.8247422679392071,4.131736526946108,3.0,13.0,1.6679389355610301,3.016611067476574,0.8901783860287206,0.6586826347305389,0.9947877885301719,3.886904761904762,1.0,1.0,67.0,1.0,4.0,3.0,9.0,5.2081975419779045,36.518354014278934,1.8852338055402567,0.7916666666666666,0.4198016893130416,0.5801983106864442,-311.97142857142853,11.646706586756608,2.91465088928203,0.9171181625208675,3.157458685234634,401702.6483761185,173769.8049354707,174301.938512124,1.15408003073538,0.395081490935804,4.869861964733246,3.482792369138642,1.4487758860080644,0.9433492907937978,4.57630734690116,1.0029261152391862,1.0014114918559356,0.9105525517747329,0.0,23.0,23.0,67.0,21.0,0.41815476190413964,0.6095380029797175,0.9671974524764138,0.5199282877817575,-0.14952334387601582
animal_9,2205.0,1.6418466120625466,1.9578983683684539,12.000000000000002,-2.2285714285714304,1.1924977363804234,1.0285714285714287,11.666666655324073,91.875,1.3740458631956347,2.2464853189286966,0.6269886761214423,0.2315711094564408,,1049.2857142857142,1155.7142857142858,0.9079110012360938,1.5614370748299318,1.7223759846710667,1.3176753580489111,1.0746006093484906,-0.09652123765059173,11,167,78,98,6.5,8.166666666666666,0.7959183672494794,4.3532934131736525,3.0,13.0,1.75167515441058,3.3952416582614546,0.8562141261350669,0.6287425149700598,0.9947877885301719,3.6666666666666665,1.0,1.0,67.0,1.0,4.0,3.0,8.0,5.856370517307052,44.768140407440185,1.9210356066458623,0.7678571428571429,0.47586653709081106,0.5241334629087354,-106.42857142857156,13.203592814292195,2.919812631497876,0.9187423459020783,2.372789115620432,421665.41257612,382626.2977198622,180247.30181823732,0.7491298453545213,0.4178258569725438,6.538773245460922,3.5433707363570957,1.6423099235870382,0.9689399200999617,4.427971364406854,1.0051031253652682,1.0480234726752293,0.9697940975960297,0.0,23.0,23.0,67.0,21.0,0.4910714285706978,0.5916542473910705,1.080057688827839,0.5118045282879347,0.018563366362220453
animal_10,1646.0,1.225614296351452,1.6786989362742284,9.257142857142858,-1.4571428571428584,1.36967963026506,0.6857142857142858,13.4999999803125,68.58333333333333,1.697489083491365,2.8775108155522497,0.6856980520802374,0.2501861504095309,,761.0571428571429,884.9428571428572,0.8600071029606432,1.1325255102040817,1.3188418139237812,1.507564206307654,1.2476844037682389,-0.15063090969991766,11,174,89,89,7.416666666666667,7.416666666666667,0.9999999998651685,3.9885057471264367,3.0,13.0,2.301722044528039,5.631749668971398,0.9039808844858496,0.7471264367816092,1.0364854802649694,3.7085714285714286,1.0,1.0,67.0,1.0,5.0,4.0,7.0,5.971266951584428,48.76011805773458,1.8039083513091307,0.7257142857142858,0.46236764450588125,0.5376323554935113,-123.88571428571424,9.459770114888164,2.847276935100465,0.8959184101635679,3.214025342775564,163430.9996709607,382282.4085238927,281280.8680648445,0.24629301445241308,0.4108860708368267,5.605552802554109,3.606276396869904,1.2259372723725535,0.6028160471568436,4.5337965911314155,0.9999999996183205,0.9184130758174203,0.8676928331944297,0.0,23.0,23.0,67.0,21.0,0.47767857142786063,0.5558867362137766,0.8494069469114779,0.5444570821204394,0.0016536472176897638
